"symbol","tf","time","open","high","low","close","volume"
"XAGUSD","30m","2025-12-17T04:00:00Z","65.5957","65.645","65.049","65.383","7490"
"XAGUSD","30m","2025-12-17T04:30:00Z","65.3837","65.6027","65.283","65.559","7872"
"XAGUSD","30m","2025-12-17T05:00:00Z","65.564","66.0017","65.485","65.7297","9761"
"XAGUSD","30m","2025-12-17T05:30:00Z","65.7297","65.9457","65.616","65.8517","5094"
"XAGUSD","30m","2025-12-17T06:00:00Z","65.8617","65.9253","65.6535","65.8897","3497"
"XAGUSD","30m","2025-12-17T06:30:00Z","65.8897","66.0617","65.815","65.9707","3422"
"XAGUSD","30m","2025-12-17T07:00:00Z","65.9727","66.298","65.855","66.0057","4803"
"XAGUSD","30m","2025-12-17T07:30:00Z","66.0057","66.524","66.0057","66.1957","8156"
"XAGUSD","30m","2025-12-17T08:00:00Z","66.1957","66.354","65.8827","66.1177","6656"
"XAGUSD","30m","2025-12-17T08:30:00Z","66.1177","66.1637","65.95","66.1017","5155"
"XAGUSD","30m","2025-12-17T09:00:00Z","66.1017","66.1027","65.7173","65.9377","7743"
"XAGUSD","30m","2025-12-17T09:30:00Z","65.9317","65.936","65.6055","65.6383","5516"
"XAGUSD","30m","2025-12-17T10:00:00Z","65.637","65.839","65.452","65.7313","7565"
"XAGUSD","30m","2025-12-17T10:30:00Z","65.7313","65.8527","65.5117","65.6524","5732"
"XAGUSD","30m","2025-12-17T11:00:00Z","65.6524","65.8617","65.5973","65.8127","3961"
"XAGUSD","30m","2025-12-17T11:30:00Z","65.8063","65.8433","65.683","65.711","3099"
"XAGUSD","30m","2025-12-17T12:00:00Z","65.711","65.9947","65.703","65.976","3070"
"XAGUSD","30m","2025-12-17T12:30:00Z","65.974","65.9837","65.735","65.8717","3314"
"XAGUSD","30m","2025-12-17T13:00:00Z","65.8717","65.9515","65.77","65.9067","2456"
"XAGUSD","30m","2025-12-17T13:30:00Z","65.9067","66.002","65.8453","65.8873","2502"
"XAGUSD","30m","2025-12-17T14:00:00Z","65.888","66.033","65.875","65.989","3982"
"XAGUSD","30m","2025-12-17T14:30:00Z","65.985","66.007","65.803","65.863","2691"
"XAGUSD","30m","2025-12-17T15:00:00Z","65.863","66.036","65.82","65.8857","9266"
"XAGUSD","30m","2025-12-17T15:30:00Z","65.8857","66.079","65.864","65.9793","9681"
"XAGUSD","30m","2025-12-17T16:00:00Z","65.9783","66.046","65.098","65.359","12635"
"XAGUSD","30m","2025-12-17T16:30:00Z","65.357","66.112","65.1128","66.0527","17086"
"XAGUSD","30m","2025-12-17T17:00:00Z","66.0493","66.105","65.5641","65.9033","15274"
"XAGUSD","30m","2025-12-17T17:30:00Z","65.908","66.068","65.341","65.636","15946"
"XAGUSD","30m","2025-12-17T18:00:00Z","65.641","65.855","65.553","65.8277","13026"
"XAGUSD","30m","2025-12-17T18:30:00Z","65.8277","66.559","65.715","66.439","9669"
